review_body,review_rating
"Akhir Desember bersamaan dengan liburan sekolah sehingga situasi cukup padat, perlu sekitar 30 menit lebih untuk mengantri tiket masuk dengan antrian panas terik dan mengular. Kami tidak tahu jika tiket bisa dibeli secara online.Sesudah masuk ke dalam area GWK, kami sedikit dikecewakan karena ternyata gedung utama masih ditutup dan belum berfungsi. Kami tidak mendapatkan informasi tersebut diawal, karena semua petugas hanya memberitahukan jika bisa naik sampai ke atas. Kecewa pastinya. Dengan harga tiket Rp 80.000,- untuk wisatawan domestik tanpa bisa masuk ke dalam gedung dan naik keatas menjadi sangat mahal.",20
"Nah sekarang saya akan menceritakan sedikit kesan - kesan saya ketika mengunjungi patung iconic yang ada di bali, yak bener sekali. Garuda Wisnu Kencana (GWK) merupakan sebuah patung raksasa karya salah satu pematung kenamaan asal Bali, Nyoman Nuarta. Patung ini berbentuk Batara Wisnu yang menunggangi hewan legendaris garuda sebagai simbol Amerta, kebajikan yang abadi. GWK didirikan di atas kawasan seluas 240 hektare yang dirancang akan menjadi taman budaya kelas dunia yang menampilkan pertunjukan hiburan dan budaya bagi masyarakat lokal maupun mancanegara. GWK tidak sekadar menawarkan daya tarik panorama yang indah. Di tempat ini, juga dipentaskan kekayaan seni tradisional Bali yang akan membuat kunjungan Anda ke Pulau Dewata meninggalkan kenangan yang berkesan. Tempat wisata di Bali GWK adalah sebuah taman budaya yang memiliki luas 240 hektar. Alamat atau lokasi dari GWK Bali berada di Jalan Raya Uluwatu, Desa Ungasan, Kuta Selatan, Kabupaten Badung 80364.Untuk biaya tiket masuk ke GWK Bali ada dua jenis, ada tiket weekday (senin-jumat) dan tiket weekend (sabtu – Minggu). Dewasa 80.000/ org & anak (5 - 12tahun) 60.000 /anak. Bagian sekian ulasan saya tentang objek wisata Gwk apabila kawan - kawan tertarik tak ada salahnya untuk mencoba referensi tempat wisata ini. Terimakasih",50
"25 des 2018..antrian sangat puuanjang cuaca sangat teriik, loket online tutup ... Terpaksa balik kanan .. pulaaaang",30
Selama dibali gwk yang paling membuat saya kecewa...sudah tiket mahal tempat gak ada yg specialnya..harga tiket masuk /mobil 20ribu..harga masuk wisata /orang 80 ribu..saat kesana patung tertinggi di indonesia itu tidak bisa dikunjungi entah knp? karena tidak ada penjelasan oleh pihak gwk.hanya ada patung patung aja disana.bagi saya tempat yang buang buang waktu saja,30
Arsitektur keren yang terdapat di bali. Bisa melihat pemandangan bali dari atas tempat. Sekaligus tempat foto,50
"ada patung yang baruuuu!! tapi belum selesai juga bangunan dibawahnya, jadi cuma bisa foto dari halaman depannya. patung yg baru ini udah keliatan dari pas pesawat mau landing loh!",40
"Akhirnya kesampaian juga kesini setelah berberapa kali ke Bali. Kebetulan saat ini sudah jadi secara penuh bagian luar patung nya, namun belum bisa dimasuki karena bagian dalam nya belum selesai. harga tiket masuk wisatawan lokal 80.000 dan 125.000 untuk wisatawan mancanegara. Terdapat pula harga tiket yang dipaketkan dengan buffet di restoran Beranda. Namun saya tidak mengambil paket tersebut karena tidak tertarik dengan menu nya. Selain patung GWK, ada pula patung lain yang bisa dikagumi kemegahannya seperti misalnya patung Wisnu. Terdapat juga pertunjukan theater pada jam-jam tertentu. Ada satu hal yang membuat saya agak kecewa, ya mungkin saya juga yang kurang cek jadwal ya. Saya berkunjung diujung bulan November, dan saat itu sedang ada persiapan untuk acara tertentu (yang dulu diadakan di Jakarta namun sekarang dipindahkan ke Bali) sehingga ada area yang ditutup dan sedihnya lagi patung GWK nya tidak bisa diakses dengan jalan kaki. Akhirnya karena sudah terlanjur, saya pun beli tiket shuttle seharga 20.000. Hemm menurut saya jika memang kendala seperti ini, bukankah lebih bijak jika shuttle nya di berikan dengan harga lebih murah atau mungkin di gratiskan untuk sementara? Karena saat saya antri, ada beberapa turis lokal maupun internasional yang menunjukkan raut kecewa saat diinformasikan oleh petugas loket.",30
"salah satu tempat yang menurut saya bikin menganga. lahan yang lapang dan dan cukup tertata. di tambah banyaknya patung dan batuan kapur yang menjulang tinggi. menikmati sun set disini sangat indah.bikin ketagihan sih.What a wonderful statue, Garuda Wisnu Kencana.",50
"Sudah membeli tiket namun tidak dapat berjalan ke area patung dikarenakan area ditutup untuk DWP 2018. Untuk menuju patung harus menggunakan shuttle bus, sementara shuttle bus sendiri membayar ekstra Rp. 20.000 dan TIKET SHUTTLE HABIS! Sehingga pada akhirnya kami tidak dapat menikmati semua fasilitas yang sudah seharusnya kami dapatkan. Terimakasih GWK karena telah mengecewakan kami dengan tidak memberikan alternatif akses menuju patung. Kami sekeluarga dan tamu - tamu kami dari Jepang berjanji untuk tidak kembali lagi kesini.",10
Tempat yg asyik untuk menikmati karya seni. Patung yang besar bila bisa mengambil sudut yg tepat bagus buat foto². Harus siap fisik juga karena tempatnya cukup luas,50
"Akhir Desember bersamaan dengan liburan sekolah sehingga situasi cukup padat, perlu sekitar 30 menit lebih untuk mengantri tiket masuk dengan antrian panas terik dan mengular. Kami tidak tahu jika tiket bisa dibeli secara online.Sesudah masuk ke dalam area GWK, kami sedikit dikecewakan karena ternyata gedung utama masih ditutup dan belum berfungsi. Kami tidak mendapatkan informasi tersebut diawal, karena semua petugas hanya memberitahukan jika bisa naik sampai ke atas. Kecewa pastinya. Dengan harga tiket Rp 80.000,- untuk wisatawan domestik tanpa bisa masuk ke dalam gedung dan naik keatas menjadi sangat mahal.",20
"Nah sekarang saya akan menceritakan sedikit kesan - kesan saya ketika mengunjungi patung iconic yang ada di bali, yak bener sekali. Garuda Wisnu Kencana (GWK) merupakan sebuah patung raksasa karya salah satu pematung kenamaan asal Bali, Nyoman Nuarta. Patung ini berbentuk Batara Wisnu yang menunggangi hewan legendaris garuda sebagai simbol Amerta, kebajikan yang abadi. GWK didirikan di atas kawasan seluas 240 hektare yang dirancang akan menjadi taman budaya kelas dunia yang menampilkan pertunjukan hiburan dan budaya bagi masyarakat lokal maupun mancanegara. GWK tidak sekadar menawarkan daya tarik panorama yang indah. Di tempat ini, juga dipentaskan kekayaan seni tradisional Bali yang akan membuat kunjungan Anda ke Pulau Dewata meninggalkan kenangan yang berkesan. Tempat wisata di Bali GWK adalah sebuah taman budaya yang memiliki luas 240 hektar. Alamat atau lokasi dari GWK Bali berada di Jalan Raya Uluwatu, Desa Ungasan, Kuta Selatan, Kabupaten Badung 80364.Untuk biaya tiket masuk ke GWK Bali ada dua jenis, ada tiket weekday (senin-jumat) dan tiket weekend (sabtu – Minggu). Dewasa 80.000/ org & anak (5 - 12tahun) 60.000 /anak. Bagian sekian ulasan saya tentang objek wisata Gwk apabila kawan - kawan tertarik tak ada salahnya untuk mencoba referensi tempat wisata ini. Terimakasih",50
"25 des 2018..antrian sangat puuanjang cuaca sangat teriik, loket online tutup ... Terpaksa balik kanan .. pulaaaang",30
Selama dibali gwk yang paling membuat saya kecewa...sudah tiket mahal tempat gak ada yg specialnya..harga tiket masuk /mobil 20ribu..harga masuk wisata /orang 80 ribu..saat kesana patung tertinggi di indonesia itu tidak bisa dikunjungi entah knp? karena tidak ada penjelasan oleh pihak gwk.hanya ada patung patung aja disana.bagi saya tempat yang buang buang waktu saja,30
Arsitektur keren yang terdapat di bali. Bisa melihat pemandangan bali dari atas tempat. Sekaligus tempat foto,50
"ada patung yang baruuuu!! tapi belum selesai juga bangunan dibawahnya, jadi cuma bisa foto dari halaman depannya. patung yg baru ini udah keliatan dari pas pesawat mau landing loh!",40
"Akhirnya kesampaian juga kesini setelah berberapa kali ke Bali. Kebetulan saat ini sudah jadi secara penuh bagian luar patung nya, namun belum bisa dimasuki karena bagian dalam nya belum selesai. harga tiket masuk wisatawan lokal 80.000 dan 125.000 untuk wisatawan mancanegara. Terdapat pula harga tiket yang dipaketkan dengan buffet di restoran Beranda. Namun saya tidak mengambil paket tersebut karena tidak tertarik dengan menu nya. Selain patung GWK, ada pula patung lain yang bisa dikagumi kemegahannya seperti misalnya patung Wisnu. Terdapat juga pertunjukan theater pada jam-jam tertentu. Ada satu hal yang membuat saya agak kecewa, ya mungkin saya juga yang kurang cek jadwal ya. Saya berkunjung diujung bulan November, dan saat itu sedang ada persiapan untuk acara tertentu (yang dulu diadakan di Jakarta namun sekarang dipindahkan ke Bali) sehingga ada area yang ditutup dan sedihnya lagi patung GWK nya tidak bisa diakses dengan jalan kaki. Akhirnya karena sudah terlanjur, saya pun beli tiket shuttle seharga 20.000. Hemm menurut saya jika memang kendala seperti ini, bukankah lebih bijak jika shuttle nya di berikan dengan harga lebih murah atau mungkin di gratiskan untuk sementara? Karena saat saya antri, ada beberapa turis lokal maupun internasional yang menunjukkan raut kecewa saat diinformasikan oleh petugas loket.",30
"salah satu tempat yang menurut saya bikin menganga. lahan yang lapang dan dan cukup tertata. di tambah banyaknya patung dan batuan kapur yang menjulang tinggi. menikmati sun set disini sangat indah.bikin ketagihan sih.What a wonderful statue, Garuda Wisnu Kencana.",50
"Sudah membeli tiket namun tidak dapat berjalan ke area patung dikarenakan area ditutup untuk DWP 2018. Untuk menuju patung harus menggunakan shuttle bus, sementara shuttle bus sendiri membayar ekstra Rp. 20.000 dan TIKET SHUTTLE HABIS! Sehingga pada akhirnya kami tidak dapat menikmati semua fasilitas yang sudah seharusnya kami dapatkan. Terimakasih GWK karena telah mengecewakan kami dengan tidak memberikan alternatif akses menuju patung. Kami sekeluarga dan tamu - tamu kami dari Jepang berjanji untuk tidak kembali lagi kesini.",10
Tempat yg asyik untuk menikmati karya seni. Patung yang besar bila bisa mengambil sudut yg tepat bagus buat foto². Harus siap fisik juga karena tempatnya cukup luas,50
"Tempata kawasan wisata keluarga yang luas banget.. Banyak acara juga, bagi yang gak kuat jalan ada shuttle bus nya.. Dan yang paling terkenal disini ya patung garuda wisnu kencana nya itu besar banget sebuah mahakarya deh.. gak kalah dari patung liberti.. bangga pokok nya.. dan yang saya suka juga pementasan di amphiteather nya keren... overall kalo jalan kesini gak rugi lah..",50
GWK merupakan patung tertinggi kedua di dunia. Selain itu ada juga pertunjukan budaya dan kesenian lokal,50
"Banyak spot bagus untuk foto - foto disini, dijamin ga akan nyesel, kalau kesini jangan lupa nonton pertunjukan tari kecak, seru banget, bikin kangen pengen nonton lagi ",50
Salah satu objek wisata yg harus dikunjungi ketika belibur di bali.... view yang indah cocok untuk memenuhi kebutuhan instagram... ,50
"Tempatnya mudah di jangkau, bersih lagi, harga souvenirnya juga relatif terjangkau, banyak spot spot untuk berfoto.",40
