review_body,review_rating
Sangat indah. Kolam yang memiliki sumber mata air sendiri ini mampu memberikan kenyamanan bagi saya. Air yang sangat jernih dan di temani deburan ombak di pantainya,50
Kesini untuk mandi air panas bersama pasangan. Tempatnya ramai dikunjungi wisatawan lokal terutama keluarga. Sekalian refreshing ke bali bagian utara.,40
Salah satu tempat wisata favorit ketika ke singaraja. Kondisi air yg jernih dan dingin g berasal dari mata air pegunungan serasa menyegarkan badan melepas penat. Biaya tiket masuk yg terjangkau dan parkir. Wajib dikunjungi,40
"pemandian air sanih ini cukup terkenal di kalangan warga lokal, karena ramai pengunjungnya. harga tiket masuk yang sangat terjangkau (8000 rupiah untuk dewasa). tersedia kolam dengan berbagai kedalaman, kamar mandi yng cukup banyak, loker yang besar (membayar 10.000 rupiah). warung untuk menjual perlengkapan mandi tersedia di seberang jalan. air kolamnya jernih.",30
"Pemandian air panas Yes Sanih memiliki keunikan tersendiri karena di depan kolam renang , pemandangannya pantai Lovina. Biasanya kolam yang berada di dekat pantai air kolamnya ikut asin, tetapi air kolam disini tetap tawar dan segar. Kolam renang ini berasal dari mata air alami dari aliran sungai bawah tanah. Tempat ini sesuai untuk refreshing keluarga karena tidak hanya tersedia kolam renang dewasa juga tersedia kolam renang untuk anak-anak. Sumber mata airnya alami maka terasa segar berenang di kolam ini. Suasananya nyaman dan menyenangkan.",40
"Tempatnya sangat bagus, tersedia kolam renang untuk anak dan dewasa dengan air yang berasal dari mata air alami. Lokasinya yang berada dekat dengan pantai menambah sensasi tersendiri kita bisa asik berenang atau hanya berendam sambil menikmati keindahan pemandangan pantai.",40
"Tempat yang bagus dapat dua pemandangan keren. Anak anak bisa berenang di kolam, ortunya bisa nunggu sambil memandang lautan lepas.... Keren....",40
Air panasnya enak sekali buat berendam dan katanya bisa buat menghilangkan penyakit kulit. Lokasinya ga susah di cari karena ada di jalur utama Singaraja Tulamben,30
Sangat indah. Kolam yang memiliki sumber mata air sendiri ini mampu memberikan kenyamanan bagi saya. Air yang sangat jernih dan di temani deburan ombak di pantainya,50
Kesini untuk mandi air panas bersama pasangan. Tempatnya ramai dikunjungi wisatawan lokal terutama keluarga. Sekalian refreshing ke bali bagian utara.,40
Salah satu tempat wisata favorit ketika ke singaraja. Kondisi air yg jernih dan dingin g berasal dari mata air pegunungan serasa menyegarkan badan melepas penat. Biaya tiket masuk yg terjangkau dan parkir. Wajib dikunjungi,40
"pemandian air sanih ini cukup terkenal di kalangan warga lokal, karena ramai pengunjungnya. harga tiket masuk yang sangat terjangkau (8000 rupiah untuk dewasa). tersedia kolam dengan berbagai kedalaman, kamar mandi yng cukup banyak, loker yang besar (membayar 10.000 rupiah). warung untuk menjual perlengkapan mandi tersedia di seberang jalan. air kolamnya jernih.",30
"Pemandian air panas Yes Sanih memiliki keunikan tersendiri karena di depan kolam renang , pemandangannya pantai Lovina. Biasanya kolam yang berada di dekat pantai air kolamnya ikut asin, tetapi air kolam disini tetap tawar dan segar. Kolam renang ini berasal dari mata air alami dari aliran sungai bawah tanah. Tempat ini sesuai untuk refreshing keluarga karena tidak hanya tersedia kolam renang dewasa juga tersedia kolam renang untuk anak-anak. Sumber mata airnya alami maka terasa segar berenang di kolam ini. Suasananya nyaman dan menyenangkan.",40
"Tempatnya sangat bagus, tersedia kolam renang untuk anak dan dewasa dengan air yang berasal dari mata air alami. Lokasinya yang berada dekat dengan pantai menambah sensasi tersendiri kita bisa asik berenang atau hanya berendam sambil menikmati keindahan pemandangan pantai.",40
"Tempat yang bagus dapat dua pemandangan keren. Anak anak bisa berenang di kolam, ortunya bisa nunggu sambil memandang lautan lepas.... Keren....",40
Air panasnya enak sekali buat berendam dan katanya bisa buat menghilangkan penyakit kulit. Lokasinya ga susah di cari karena ada di jalur utama Singaraja Tulamben,30
