class,text
Pos,wisata alun alun kidul selatan keratin malam senang tawar becak wisata keliling alun alun selatan harga cukuo murah rukiah putar alun alun wisata tutup tantang lintas pohin
Pos,alun alun selatan  jm malam ramai dikarena mobil odongodong cahaya lampu sewa mengowes putar alun alun selatan harga variasi alun alun selatan 
Pos, mantap gak  alunalun kidul selatan jogjaini pohon beringin pohon tercapai jodoh gituihihihi
Pos,menikmat indah sore malam alunalun kidul senang suasana segar hibur makan foto pastinya bias becak cinta keliling alunalun menikmat makan minuman khas wedang
Pos,seru keliling alunalun mobil lampu biaya terjangkau putar didalam mobilnya sedia lagu suaranya kenceng 
Pos,  alun alun lapangan kota kota  mitos  pohon beringin alun alun cita cita terkabul
Pos,yaaa akalu gak alun alun kidul kek ritual ksni gak yaaa mobil nyala far enak sayang ksana malam gak  pohon kembarnya
Pos, sekedar nongkrong kumpul teman malam nikmat indah cahaya lampu mobil suasanan santai
Pos,seru  malam odong mobil sepeda dihias penuh lampu jajanan ramai  nawar sepeda harga lumayan mahal tawar
Pos, liat pohon beringin legendaris makan  alun alun 
Pos, cocok habis malam mutermuter alunalun kidul sepeda tandem odongodong lampu meriah kerennya dengar musik beatnya lumayan cepat ajepajep hahaa jalan alunalun tutup 
Pos, mencoba odongodong lampu hias sayang musim liburan suasana ramai macet sewa odongodongnya mahal permintaannya putar tawar 
Pos,halaman kediaman raja sarat folklore akrab alunalun kidul   keraton nampak membelakangi laut selatan jaga ratu kidul konon hubungan magis 
Pos,beringin kembar pasangan lewatnya tutup langgeng legenda  unik  menyenangi kerindangan pohon
Pos,wisata  unik  ditempat keliling becak wisata warna warni pkl makan khas 
Pos,akun alun selatan alun alun kidul mistis pohon beringin konon pohon beringin simbol penggambar raja ratu 
Pos,suasana hidup merkayat santai gambar alun alun kidul keraton lakukan selepas senja makan malam lesehan sekedar menyeruput wedang ronde mencoba  pohon beringin kembar tutup odong
Pos,alunalun keraton luas kumpul warga kadangkadang aktivitas seni budaya lainlain unik pohon beringin kembar
Pos, bersejarah khas bangunan keraton mobil hias berlampu sepeda biaya lumayan murah keliling alkid alun kidul romantis pasangan sedia angkringan wedang ronde
Pos, senang wisata malam cocok indah  malam malam jalan sedia angkutan indah keliling
Pos, suasana  alun alun selatan relatif tenang damai dibanding malioboro cocok cinta wisata spiritual lokasi jalur malioboro keraton 
Pos,alun alun kidul setau lahirnya kreasi sepeda lampu bentuk unik menandingi indah kreatifitas sepeda lampu alunalun kidul sepeda lampu beringin kembar dipercaya mengabulkan permintaan 
Pos, malem mobil kayuhnya super duper heboh full musik penuh gemintang pemandangan unik lucu gak main tutup 
Pos,alunalun letak  aktivitas warga hilir mudik alunalun luas indah pinggir alulan pohonpohon rindang angin sepoisepoi aktivitas pusing
Pos,alun alun kuliah lokasi lesehan tenang anak anak muda nongkrong menikmat alunan lagu khas pengamen jalan  perhatianharga murah lokasi nyaman letak 
Pos, cocok salah istirahat  cocok lg sore menjelang petang komunitas kumpul unik tersendiri spti  nnti  pohon beringin  lapangan 
Pos,duduk santai menikmat wedang ronde keasikan tersendiri diwaktu malam fi alun alun menyaksikan main kendaraan berlampu kelap kelip indah sewa pengunjung alun alun 
Pos, spesial becak berlampu trus  gerbang pohon tutup jodoh secepatnya hahahaha  gak bisabisa
Pos, selatan keraton alunalun selatan warga main bola bersenda gurau menikmat senja menyeruput kopi teh manis teman angkringan makan singkong pisang goreng gethuk alunalun selatan pohon 
Pos, beringin unik percaya tutup  beringin hati bersih wisata kuliner disekutar alon unik becak warna warni sewa
Pos,alunalun selatan khas pohon beringinnya anak muda mencoba beruntungnya mencoba  pohon beringin tersebuh tutup keinginannya terkabul berminat
Pos,rameeeeee suasana angkringan dapet makan wedang ronde nikmat malem 
Pos,   pohon beringin beruntung betah malam penuh lampulampu indah sepeda sewa
Pos,lumayan kendaraan becak keliling masuk keraton sore enak
Pos,alun alun selatan ruang publik senang menikmat unik sepeda lampu mencoba  legenda menikmat jajajan lokal duduk menikmato sore ramah anakanak lansia
Pos, tradisi percaya alun selatan dilewat pohon beringin  tutup tercapai inti tradisi fokus ketenangan tutup sewa 
Pos,malam sepi wisatawan  mudamudi besarkecil manfaat enak kauman tinggal selangkah makan melimpah ruah
Pos,alun alun selatan areal terbuka luas sasono hinggil keraton pagi joging senam warga penjual makan angkringan bubur ayam susu murni beraktivitas pagi
Pos, cocok malam sedia becak odong odong dihias lampulampu cantik mencoba peruntungan jalan tutup   pohon permintaan 
Pos,malam mengunjunggi alun alun selatan sewa andong transportasi tradisional perjalan hujan lumayan deras cafe menunggu hujan reda reda sewa sepeda becak dipasangi
Pos, sabtu matahari tenggelam suasana indah ramai sepeda cantik dimodifikasi mobil hias lampu warna warni biaya sewa putar alunalun
Pos, pohon simbolis ciri khas pemandangan pohon beringin taman terbuka
Pos, santai malam warung makan musik terang benderang sepeda sewa pohon beringin mitos hati murni jalan tutup 
Pos,  pemandangan kegiatan matahari terbenam lentera memodifikasi sepeda bagus musik  makan minuman tradisional dinikmat padang rumput unik  pohon sawah percaya 
Pos,  yogyakrta turis turis lokal  alun alun selatan menikmat malam berinteraksi penduduk  senang makan makan kaki lezat penuh malam 
Pos, malam penduduk lokal benarbenar terang sepeda unik mobil penduduk percaya jalan pohon pusat tutup beruntung 
Pos, siang malam lampu mobil sewa bersepeda tamasyawan jl bagus jenis keaktivitetan negara indah anakanak suka 
Pos, taksi alunalun selatan alunalun kidul mengkwadratkan selatan mudah haruskunjungi situs hotel unik populer pengunjung kota  
Pos, taman king palace malam terbaik  bercahaya sepeda kerumunan santai kumpul keluarga  pusat 
Pos, utama pohon banyan town square keraton old palace kota tinggal malam malam 
