review_text,label
wisata alun alun kidul selatan keratin malam senang tawar becak wisata keliling alun alun selatan harga cukuo murah rukiah putar alun alun wisata tutup tantang lintas pohin,pos
alun alun selatan  jm malam ramai dikarena mobil odongodong cahaya lampu sewa mengowes putar alun alun selatan harga variasi alun alun selatan ,pos
 mantap gak  alunalun kidul selatan jogjaini pohon beringin pohon tercapai jodoh gituihihihi,pos
menikmat indah sore malam alunalun kidul senang suasana segar hibur makan foto pastinya bias becak cinta keliling alunalun menikmat makan minuman khas wedang,pos
seru keliling alunalun mobil lampu biaya terjangkau putar didalam mobilnya sedia lagu suaranya kenceng ,pos
  alun alun lapangan kota kota  mitos  pohon beringin alun alun cita cita terkabul,pos
yaaa akalu gak alun alun kidul kek ritual ksni gak yaaa mobil nyala far enak sayang ksana malam gak  pohon kembarnya,pos
 sekedar nongkrong kumpul teman malam nikmat indah cahaya lampu mobil suasanan santai,pos
seru  malam odong mobil sepeda dihias penuh lampu jajanan ramai  nawar sepeda harga lumayan mahal tawar,pos
 liat pohon beringin legendaris makan  alun alun ,pos
 cocok habis malam mutermuter alunalun kidul sepeda tandem odongodong lampu meriah kerennya dengar musik beatnya lumayan cepat ajepajep hahaa jalan alunalun tutup ,pos
 mencoba odongodong lampu hias sayang musim liburan suasana ramai macet sewa odongodongnya mahal permintaannya putar tawar ,pos
halaman kediaman raja sarat folklore akrab alunalun kidul   keraton nampak membelakangi laut selatan jaga ratu kidul konon hubungan magis ,pos
beringin kembar pasangan lewatnya tutup langgeng legenda  unik  menyenangi kerindangan pohon,pos
wisata  unik  ditempat keliling becak wisata warna warni pkl makan khas ,pos
akun alun selatan alun alun kidul mistis pohon beringin konon pohon beringin simbol penggambar raja ratu ,pos
suasana hidup merkayat santai gambar alun alun kidul keraton lakukan selepas senja makan malam lesehan sekedar menyeruput wedang ronde mencoba  pohon beringin kembar tutup odong,pos
alunalun keraton luas kumpul warga kadangkadang aktivitas seni budaya lainlain unik pohon beringin kembar,pos
 bersejarah khas bangunan keraton mobil hias berlampu sepeda biaya lumayan murah keliling alkid alun kidul romantis pasangan sedia angkringan wedang ronde,pos
 senang wisata malam cocok indah  malam malam jalan sedia angkutan indah keliling,pos
 suasana  alun alun selatan relatif tenang damai dibanding malioboro cocok cinta wisata spiritual lokasi jalur malioboro keraton ,pos
alun alun kidul setau lahirnya kreasi sepeda lampu bentuk unik menandingi indah kreatifitas sepeda lampu alunalun kidul sepeda lampu beringin kembar dipercaya mengabulkan permintaan ,pos
 malem mobil kayuhnya super duper heboh full musik penuh gemintang pemandangan unik lucu gak main tutup ,pos
alunalun letak  aktivitas warga hilir mudik alunalun luas indah pinggir alulan pohonpohon rindang angin sepoisepoi aktivitas pusing,pos
alun alun kuliah lokasi lesehan tenang anak anak muda nongkrong menikmat alunan lagu khas pengamen jalan  perhatianharga murah lokasi nyaman letak ,pos
 cocok salah istirahat  cocok lg sore menjelang petang komunitas kumpul unik tersendiri spti  nnti  pohon beringin  lapangan ,pos
duduk santai menikmat wedang ronde keasikan tersendiri diwaktu malam fi alun alun menyaksikan main kendaraan berlampu kelap kelip indah sewa pengunjung alun alun ,pos
 spesial becak berlampu trus  gerbang pohon tutup jodoh secepatnya hahahaha  gak bisabisa,pos
 selatan keraton alunalun selatan warga main bola bersenda gurau menikmat senja menyeruput kopi teh manis teman angkringan makan singkong pisang goreng gethuk alunalun selatan pohon ,pos
 beringin unik percaya tutup  beringin hati bersih wisata kuliner disekutar alon unik becak warna warni sewa,pos
alunalun selatan khas pohon beringinnya anak muda mencoba beruntungnya mencoba  pohon beringin tersebuh tutup keinginannya terkabul berminat,pos
rameeeeee suasana angkringan dapet makan wedang ronde nikmat malem ,pos
   pohon beringin beruntung betah malam penuh lampulampu indah sepeda sewa,pos
lumayan kendaraan becak keliling masuk keraton sore enak,pos
alun alun selatan ruang publik senang menikmat unik sepeda lampu mencoba  legenda menikmat jajajan lokal duduk menikmato sore ramah anakanak lansia,pos
 tradisi percaya alun selatan dilewat pohon beringin  tutup tercapai inti tradisi fokus ketenangan tutup sewa ,pos
malam sepi wisatawan  mudamudi besarkecil manfaat enak kauman tinggal selangkah makan melimpah ruah,pos
alun alun selatan areal terbuka luas sasono hinggil keraton pagi joging senam warga penjual makan angkringan bubur ayam susu murni beraktivitas pagi,pos
 cocok malam sedia becak odong odong dihias lampulampu cantik mencoba peruntungan jalan tutup   pohon permintaan ,pos
malam mengunjunggi alun alun selatan sewa andong transportasi tradisional perjalan hujan lumayan deras cafe menunggu hujan reda reda sewa sepeda becak dipasangi,pos
 sabtu matahari tenggelam suasana indah ramai sepeda cantik dimodifikasi mobil hias lampu warna warni biaya sewa putar alunalun,pos
 pohon simbolis ciri khas pemandangan pohon beringin taman terbuka,pos
 santai malam warung makan musik terang benderang sepeda sewa pohon beringin mitos hati murni jalan tutup ,pos
  pemandangan kegiatan matahari terbenam lentera memodifikasi sepeda bagus musik  makan minuman tradisional dinikmat padang rumput unik  pohon sawah percaya ,pos
  yogyakrta turis turis lokal  alun alun selatan menikmat malam berinteraksi penduduk  senang makan makan kaki lezat penuh malam ,pos
 malam penduduk lokal benarbenar terang sepeda unik mobil penduduk percaya jalan pohon pusat tutup beruntung ,pos
 siang malam lampu mobil sewa bersepeda tamasyawan jl bagus jenis keaktivitetan negara indah anakanak suka ,pos
 taksi alunalun selatan alunalun kidul mengkwadratkan selatan mudah haruskunjungi situs hotel unik populer pengunjung kota  ,pos
 taman king palace malam terbaik  bercahaya sepeda kerumunan santai kumpul keluarga  pusat ,pos
 utama pohon banyan town square keraton old palace kota tinggal malam malam ,pos
 taksi alunalun selatan alunalun kidul mengkwadratkan selatan mudah haruskunjungi situs hotel unik populer pengunjung kota  ,pos
 taman king palace malam terbaik  bercahaya sepeda kerumunan santai kumpul keluarga  pusat ,pos
 utama pohon banyan town square keraton old palace kota tinggal malam malam ,pos
ambarrukmo plaza lega ragam tenand penuh area mall mall mudah akses area malioboro  uang ojek online,pos
mall sedia makan komplit bioskop  cocok habis weekend ngadem,pos
 belanja mall ambarrukmo plaza  luas megah suasana nyaman bersih ramai parkir luas,pos
amplaz ambarukmo plaza salah mall terbesar luas keciltapi mall mall asyik jalan ,pos
lokasi pusat kota libur weekend macet mall cocok hangout temanteman  resto shopping  brand lantai khusus gadget money changer ,pos
 berubah pusat belanja  nonton film makan malam resto marugame udon crepe signature parkiran luas ruang tunggu sedia supir tarif parkir motor ,pos
arsitektur sederhana elegan tata rapi pengunjung nggak kebingungan ,pos
bangunan berlantai megah elegans populer sebutan amplas akronim ambarrukmo plasaplaza super mall kota gudheg tujuan belanja kuliner barangbarang merkqualifiedbanyak gerai tawar produk harga memadai relatif mahal belanja ,pos
 asyik nongkrong kawula muda nontonnya makan outlet baju harga sewajarnya  adeeeem deket jalan raya mudah jangkau kendaraan deket bandara jugaaa keren pokok,pos
 berbelanja barangbarang branded mall hibur nyaman lokasi strategis letak hi hotel ambarrukmo mall bergengsi koridor lapang semaraknya dekorasi natal ,pos
  desember suasana natal bolabola emas bergantung menjuntai mall indah sedia lengkap fashion elektronik gadget resto mall,pos
mall ambaraukmo plaza terkenal amplas mall mall terbesar letraknya disamping hotel ambaruko plaza lengkap modern shopping,pos
amplaz letak  hotel royal sedia  cafe resto butik harga mahal mall mall modern cocok hangout remaja,pos
aroma khas melati rest room senang cleaner ramah wifi guest tida mengcover area user slow down ditingkatkan kbps user aroma sedap,pos
 acara mobil kendali jarak koridor utama kendara trans berangkat  shelter perjalan jelajahi plaza makan malam stamina ,pos
 lokasi mall bagus tenant lengkap brand brand tawar common seragam mall mall daerah jawa diysemoga brand brand surabaya jakarta masuk mall ,pos
pusat belanja ngetrend nongkrong anak muda ragam restoran fastfood gerai makan berlabel internasional  departemen strore cntro grosir crrefour entertainment lantai operasi bioskop ,pos
mall letak berdampingan hotel ternama sepi pengunjung weekend gajian mall penuh sesak ratarata jual brandbrand terkenal keluarga menikmat saatsaat berbelanja mall ,pos
 hidup kota jakarta rindu suasana mall  mall mall brand fashian ternama  model fashionnya beda ,pos
mal terbesar surga makan starbucks jco bread talk pujasera taman sari sedia ragam makan khas indonesia internasional sedia bioskop xxi teater nyaman senang cuci minus parkir  waspada,pos
 bagus mall toko layak mal mewah louis vouitton prada gucci food court lantai variasi makan cina jepang barat korea makan pencuci mulut dim sum ,pos
 mal  toko tokotoko kafe produk susu kota suasana modern ,pos
 pusat belanja   toko elektronik makan cepat restorantoko serba bioskop bagus penukaran uang sedia carrefour megamart penata rambut kios,pos
 bagus kota tawar toko merek outlet benarbenar merek mewah kelas menengah layanan ,pos
 loated jalan utama bandara  hotel bintang outlet mall  terbaik toko bermerek eatries pelihara penuh sulit  parkir,pos
 pikir mall terbesar  perjalan galleria mall malioboro mall merek starbucks supermarket carrefour merica makan siang ikan co benarbenar suka korea patbingsu,pos
 bagus jalan hujan super hotel  merek carrefour beli perlengkapan murahannya duduk ruangan mal,pos
 jakarta surabaya munich london mal belanja buang belanja barangbarang  kota fantastis  butuh memakbulkan uang ,pos
 makan restoran variasi  oreintal pekan penuh sesak senang ,pos
 juni pusat belanja populer generasi muda restoran carrefour habis hujan cariberbelanja menikmat cangkir kopi,pos
 gigitan terbaik lihat letak jalan utama capai taksi jalanjalan duduk menikmat cangkir kopi starbucks pintu masuk mall,pos
plaza mudah  angkutan plaza terbaik plaza empoh plaza lakukan,pos
 hotel utama  new ambarukmo palace hotel salah modern pusat belanja indonesia,pos
 hotel utama  new ambarukmo palace hotel salah modern pusat belanja indonesia,pos
bakpia pathok terkenal bakpia enak teksturnya lembut cemilan wajib  pulang oleholeh bilankita  jogjasy beli kacang hijau keju kacang hijau kadaluarsanya cepat keju keju tahan seminggu ditaruh kulkas bakpia ditaruh kulkas menghangatkannya tekstur bakpia lembut lunak keras bakpia beda kualitas bakpia merek ,pos
salah bakpia terkenal enak variasi harga lumayan,pos
parkiran luas bis capai becak andong menunggu belanja bakpia macha empuk lembut worth ,pos
bakpia pathok oleholeh beli pabrik bakpia pathok bakpia pathok lembut teksturnya hangat macammacam harga kotak kesana uang beli,pos
 bakpia salah bakpia terenak juara enak lembut sedia fresh toko,pos
 malam ramai bakpia hangat wangi sedia testerfave bakpia premium keju durianselain menjual bakpia sedia kuekue kripik khas solo oleholeh layanan packing belanja sedia kardustali rafia dilayani belanja dipacking hotelo iya karyawannya kasir menjual packing parkir melayani sopan ramah gak terima tips,pos
marketing bakpia pathok jalan malioboro becak tawar mengantar bakpia pathok bis sewa tawar mengantar jual luas bersih bakpia pathok hangat harga variasi standard kacang hijau harga kotak harga premiumhampir teman beli bakpia oleholeh khas ,pos
 bakpia snack khas jawa harga standar bakpia juara kacang hijau coklat keju green tea tukang becak manapun ,pos
  enak beli bakpia premiumk biji biji coklat keju beli bakpia hangat kasir rombongan bus jujur potong harga potong parkir ,pos
 bakpia pathok hati lezatnya bakpia keju coklat kacang hijau durian kue spesial bakpia,pos
nyam sukaa sm bakpia juara atw lg ksna titip beli top ,pos
 variasi kisaran harga  normal free parking liat proses pembuat bakpia live pelayanan staff memuaskan sedia jenis variasi bakpia,pos
lokasi jalan malioboro becak mobil bakpia pathok kue khas cocok oleholeh keluarga rekan bisnis enak kacang hijau,pos
