text,label
alunalun selatan khas pohon beringin anak muda coba untung coba pohon beringin tersebuh tutup kabul minat,pos
mengukuti trip prambanan candi kunjung ramai puas foto candi candi masuk,neg
nikmat seni budaya bal khusus utk seni tari teater patung destinasi wajib dikunjungikita main segway paintball sinidan jgn lupa utk abadi spot2 yg instagramable jgn tari kecak pd 1830dijamin asa jd campur aduk,pos
borobudur pramanan penuh kesan lelah gambar kendara kuil pramanan hidung nikmat matahari benam khusus kuil candi tanah,neg
candi ne banding sawah kuk candi banjir arti kuk kering amazing harga murah,neg
muncul mallmall nyaman amplaz saing tenanttenant amplaz semarak hadir charles keith wakai timberland suka musholla amplaz musholla bagus ukur mall letak,neg
kesana libur background unikunik gak duga natural bagus,neg
sopir rekomendasi coba bakpia benarbenar coba contoh bakpia lezat proses bakpia staf super ramah sejarah outlet proses,pos
sesat masuh bayar candi bukit sore foto sunset latar candi prambanan latar mandi zaman raja keliling candi ratu boko sensasi,neg
lihat patung dr udah amazing banget bayangin aja patung gwk patung patung liberty bagus libur tiket masuk rp 80000,pos
candi ratu boko hancur bangun akibat gempa masuk bagus foto iti mubgkin bangun batu batu candi hancur bentuk batu asli,neg
pulau dewata wajib unjung gwk rupa lokasi unik ikon pulau bal lihat pahat pahat patung burung lihat seni,neg
duduk santai nikmat wedang ronde asi malam fi alun alun saksi main kendara lampu kelap kelip indah sewa unjung alun alun,pos
tantang utama objek wisata pohon beringin tutup lenceng tabrak pohon nihil seru tantang sepele jarang,neg
harga tiket sunset beda harga tiket pandang keren tata jaga lihat,pos
bukit indah pandan santai cocok nikmat kopi santai,pos
indah dateng sore sunset indah udara sejuk bebas polusi,pos
kunjung foto preweed senang kuil matahari benam makan malam romantis indah,pos
candi tutup pandang candi bagus bandara kota mendung sunset candi indah letak candi tebing breksi jaket pakai,pos
salah obyek wisata wajib letak keraton alunalun utara pohon beringin kembar pasangn pohon beringin tutup kain pagi jogging sarap lontong opor nasi kuning malam,neg
cocok kunjung sunset rute candi prambanan candi ratu boko cani tanah lapang cafe bagus sunset cafe cani prambanan,pos
